rank	formulaRank	#adducts	#predictedFPs	ConfidenceScore	CSI:FingerIDScore	ZodiacScore	SiriusScore	molecularFormula	adduct	InChIkey2D	InChI	name	smiles	xlogp	pubchemids	links	dbflags	ionMass	retentionTimeInSeconds	id
1	1	1	1	0.9934432985672246	-263.7366568887262	0.9999999999999999	28.516673381822123	C36H68O10	[M - H]-	XSRYVXMFZUWXFT	InChI=1S/C36H68O10/c1-25(2)10-7-13-28(37)16-18-30(39)22-35(43)45-32(15-9-12-27(5)6)20-21-33(24-34(41)42)46-36(44)23-31(40)19-17-29(38)14-8-11-26(3)4/h25-33,37-40H,7-24H2,1-6H3,(H,41,42)	null	CC(C)CCCC(CCC(CC(=O)OC(CCCC(C)C)CCC(CC(=O)O)OC(=O)CC(CCC(CCCC(C)C)O)O)O)O	6.9000001	25023107;102404184	COCONUT:(CNP0266540);Natural Products:(UNPD140680);PubChem:(25023107 102404184);SuperNatural:(SN00357749);2304_LOTUS_DNP	3178498	659.4740600585938	166.224	115_2211_115
2	4	2	2	0.7800831575563598	-355.5118466657219	0.17185929648241208	4.307877373787408	C31H44O7S	[M - H2O - H]-	ONEUIDDHJDKZIJ	InChI=1S/C31H44O7S/c1-19(8-7-13-38-39(35,36)37)23-11-12-24-29-25(17-28(34)31(23,24)3)30(2)18-21(14-20-9-5-4-6-10-20)26(32)15-22(30)16-27(29)33/h4-6,9-10,14,19,22-25,27-29,33-34H,7-8,11-13,15-18H2,1-3H3,(H,35,36,37)	null	CC(CCCOS(=O)(=O)O)C1CCC2C3C(O)CC4CC(=O)C(=Cc5ccccc5)CC4(C)C3CC(O)C12C	4.987104869307439	""	""	0	541.2623291015625	425.959	545_2211_545
3	1	1	1	0.7765455571150012	-76.23615234837493	0.9949748743718593	18.21175897768838	C6H16N4O2	[M + Cl]-	QAIZWPHEKDLAOM	InChI=1S/C6H16N4O2/c7-4(5(11)12)2-1-3-10-6(8)9/h4,6,10H,1-3,7-9H2,(H,11,12)	2-amino-5-(diaminomethylamino)pentanoate	C(CC(C(=O)O)N)CNC(N)N	-2.67030263	15805842;21354865;51035571;51035774;51035775;51035776;51037229;51037230;59075010;118524681	COCONUT:(CNP0178652);Natural Products:(UNPD121972);PubChem:(15805842 21354865 51035571 51035774 51035775 51035776 51037229 51037230 59075010 118524681);SuperNatural:(SN00389725)	3178498	211.09689331054688	111.097	59_2211_59
4	1	2	5	0.7432731443970154	-291.65380559372085	0.8879396984924623	14.253452307051953	C37H62O13	[M - H2O - H]-	MOYBUGGNPKXCHY	InChI=1S/C37H62O13/c1-18(2)36(48,17-39)12-10-33(5,47)28-19(40)14-32(4)21-7-8-22-34(6,30(46)50-29-27(45)26(44)25(43)20(15-38)49-29)23(41)13-24(42)37(22)16-35(21,37)11-9-31(28,32)3/h18-29,38-45,47-48H,7-17H2,1-6H3	null	CC(C)C(CCC(C)(C1C(CC2(C1(CCC34C2CCC5C3(C4)C(CC(C5(C)C(=O)OC6C(C(C(C(O6)CO)O)O)O)O)O)C)C)O)O)(CO)O	2.0999999	10628611;21609741;73801616;101063338	COCONUT:(CNP0135216);HMDB:(36300);KNApSAcK:(46703);Natural Products:(UNPD68195);PubChem:(10628611 21609741 73801616 101063338);SuperNatural:(SN00278637);PubChem class - bio and metabolites;2304_LOTUS_DNP:(Cycloartane triterpenoids)	19955738	695.4013061523438	157.197	108_2211_108
5	1	2	2	0.7276646614655956	-117.55984875865187	0.9999999999999999	34.58679378110769	C38H62O6	[M + CH2O2 - H]-	OSAXUKOWYDEPJU	InChI=1S/C38H62O6/c1-22-18-23(30(41)31(42)29(22)40)19-24-10-12-34(4)27(35(24,5)21-39)11-13-37(7)28(34)9-8-25-26-20-33(2,3)14-16-38(26,32(43)44)17-15-36(25,37)6/h8,22-24,26-31,39-42H,9-21H2,1-7H3,(H,43,44)	null	CC1CC(C(C(C1O)O)O)CC2CCC3(C(C2(C)CO)CCC4(C3CC=C5C4(CCC6(C5CC(CC6)(C)C)C(=O)O)C)C)C	6.91160393	""	COCONUT:(CNP0237484);2304_LOTUS_DNP:(Oleanane triterpenoids)	2097152	659.4526977539062	275.857	283_2211_283
6	2	1	2	0.7057351968647319	-320.7984134239163	0.014070351758793974	19.133206837672727	C23H48N6O7	[M + Cl]-	BFSNRLWOLWFUJL	InChI=1S/C23H48N6O7/c24-13-4-1-7-17-28(35)22(33)11-10-21(32)26-15-6-2-8-18-29(36)23(34)19(30)12-16-27-20(31)9-3-5-14-25/h19-20,27,30-31,35-36H,1-18,24-25H2,(H,26,32)	null	NCCCCCN(O)C(=O)CCC(O)=NCCCCCN(O)C(=O)C(O)CCNC(O)CCCCN	-0.3106017521060846	""	""	0	555.3296508789062	250.409	240_2211_240
7	2	1	1	0.6095658343705559	-205.336115206251	0.9944723618090452	39.382552727732076	C37H54N6O9	[M - H]-	WQYQLZJEDBPTDY	InChI=1S/C37H54N6O9/c1-8-11-26-34(47)42-18-10-13-28(42)36(49)43-19-9-12-27(43)35(48)41(6)29(20-24-14-16-25(51-7)17-15-24)32(45)40-30(21(2)3)37(50)52-22(4)31(33(46)39-26)38-23(5)44/h14-17,21-22,26-31H,8-13,18-20H2,1-7H3,(H,38,44)(H,39,46)(H,40,45)	null	CCCC1C(=O)N2CCCC2C(=O)N3CCCC3C(=O)N(C(C(=O)NC(C(=O)OC(C(C(=O)N1)NC(=O)C)C)C(C)C)CC4=CC=C(C=C4)OC)C	2.5999999	10974616;21777316	COCONUT:(CNP0246595);Natural Products:(UNPD30302);PubChem:(10974616 21777316);SuperNatural:(SN00297798);additional;PubMed;2304_LOTUS_DNP:(Cyclic peptides)	3702850	725.3904418945312	204.216	163_2211_163
8	1	1	1	0.5699938915599332	-324.09691220381865	0.9999999999999999	53.06095276214794	C31H50O9	[M - H]-	RBKYLTMXHKKOOD	InChI=1S/C31H50O9/c1-18-10-11-26(3)12-14-28(5)23-22(35)24(36)29(17-32,19(2)33)20(8-9-21(34)39-6)27(23,4)13-15-30(28,25(37)40-7)31(26,38)16-18/h10,19-20,22-24,32-33,35-36,38H,8-9,11-17H2,1-7H3	methyl (4aS,4bS,6aS,7S,8R,9R,10S,10aS,10bR,12aS)-4a,9,10-trihydroxy-8-(1-hydroxyethyl)-8-(hydroxymethyl)-7-(3-methoxy-3-oxopropyl)-3,6a,10b,12a-tetramethyl-1,4,5,6,7,9,10,10a,11,12-decahydrochrysene-4b-carboxylate	CC1=CCC2(CCC3(C4C(C(C(C(C4(CCC3(C2(C1)O)C(=O)OC)C)CCC(=O)OC)(CO)C(C)O)O)O)C)C	3.0	11958183;44566235	COCONUT:(CNP0078069);PubChem:(11958183 44566235);PubMed;2304_LOTUS_DNP:(Friedelane triterpenoids)	2097218	565.3380126953125	182.428	132_2211_132
9	1	1	1	0.5288915355792968	-67.31265246205768	0.9994974874371858	57.66726654013148	C28H36N4O4	[M - H]-	OWKLJRMFTXDULF	InChI=1S/C28H36N4O4/c1-17(2)23-27(35)30-21(15-19-11-7-5-8-12-19)25(33)29-22(16-20-13-9-6-10-14-20)26(34)31-24(18(3)4)28(36)32-23/h5-14,17-18,21-24H,15-16H2,1-4H3,(H,29,33)(H,30,35)(H,31,34)(H,32,36)	3,6-dibenzyl-9,12-di(propan-2-yl)-1,4,7,10-tetrazacyclododecane-2,5,8,11-tetrone	CC(C)C1C(=O)NC(C(=O)NC(C(=O)NC(C(=O)N1)CC2=CC=CC=C2)CC3=CC=CC=C3)C(C)C	4.0999999	424453;102067229	PubChem:(424453 102067229);2304_LOTUS_DNP:(Cyclic peptides)	2	491.2659912109375	233.287	200_2211_200
10	1	2	2	0.5058097113927296	-82.88698171216235	0.9999999999999999	57.449728164768054	C28H36N4O4	[M + CH2O2 - H]-	OWKLJRMFTXDULF	InChI=1S/C28H36N4O4/c1-17(2)23-27(35)30-21(15-19-11-7-5-8-12-19)25(33)29-22(16-20-13-9-6-10-14-20)26(34)31-24(18(3)4)28(36)32-23/h5-14,17-18,21-24H,15-16H2,1-4H3,(H,29,33)(H,30,35)(H,31,34)(H,32,36)	3,6-dibenzyl-9,12-di(propan-2-yl)-1,4,7,10-tetrazacyclododecane-2,5,8,11-tetrone	CC(C)C1C(=O)NC(C(=O)NC(C(=O)NC(C(=O)N1)CC2=CC=CC=C2)CC3=CC=CC=C3)C(C)C	4.0999999	424453;102067229	PubChem:(424453 102067229);2304_LOTUS_DNP:(Cyclic peptides)	2	537.2715454101562	233.287	201_2211_201
