feature_id	feature_mz	feature_rt	feature_spectrum_entropy	feature_pred_tax_cla_01kin_val	feature_pred_tax_cla_01kin_score	feature_pred_tax_cla_02sup_val	feature_pred_tax_cla_02sup_score	feature_pred_tax_cla_03cla_val	feature_pred_tax_cla_03cla_score	feature_pred_tax_cla_04dirpar_val	feature_pred_tax_cla_04dirpar_score	feature_pred_tax_npc_01pat_val	feature_pred_tax_npc_01pat_score	feature_pred_tax_npc_02sup_val	feature_pred_tax_npc_02sup_score	feature_pred_tax_npc_03cla_val	feature_pred_tax_npc_03cla_score	component_id	candidate_spectrum_entropy	candidate_structure_molecular_formula	candidate_count_sirius_peaks_explained	candidate_score_sirius_intensity	candidate_score_sirius_isotope	candidate_score_sirius_sirius	candidate_score_sirius_tree	candidate_score_sirius_zodiac	candidate_score_sirius_confidence	candidate_score_sirius_csi	candidate_library	candidate_count_similarity_peaks_matched	candidate_score_similarity	candidate_structure_exact_mass	candidate_structure_xlogp	candidate_structure_inchikey_no_stereo	candidate_structure_smiles_no_stereo	candidate_structure_tax_cla_chemontid	candidate_structure_tax_cla_01kin	candidate_structure_tax_cla_02sup	candidate_structure_tax_cla_03cla	candidate_structure_tax_cla_04dirpar	candidate_structure_tax_npc_01pat	candidate_structure_tax_npc_02sup	candidate_structure_tax_npc_03cla	candidate_structure_organism_occurrence_closest	candidate_structure_organism_occurrence_reference	candidate_structure_error_mz	candidate_structure_error_rt	rank_initial	rank_final	score_initial	score_biological	score_chemical	score_final
1	207.93072509765625	0.22848333333333332	0.950139783808998	dummy	0	dummy	0	dummy	0	dummy	0	dummy	0	dummy	0	dummy	0																																				
2	352.853759765625	0.23081666666666667	1.63470940223962	dummy	0	dummy	0	dummy	0	dummy	0	dummy	0	dummy	0	dummy	0																																				
3	207.93045043945312	0.23785	2.27200186603352	dummy	0	dummy	0	dummy	0	dummy	0	dummy	0	dummy	0	dummy	0																																				
4	235.9256591796875	0.24250000000000002	2.08525452553496	dummy	0	dummy	0	dummy	0	dummy	0	dummy	0	dummy	0	dummy	0																																				
5	261.8506774902344	0.24250000000000002	1.77373028393745	dummy	0	dummy	0	dummy	0	dummy	0	dummy	0	dummy	0	dummy	0																																				
6	261.8509521484375	0.24475	1.36082770937078	dummy	0	dummy	0	dummy	0	dummy	0	dummy	0	dummy	0	dummy	0																																				
7	233.9302520751953	0.24481666666666665	2.03399863707543	Organic compounds	0.0200080032012805	Lipids and lipid-like molecules	0.0200080032012805	Prenol lipids	0.0200080032012805	Triterpenoids	0.0200080032012805	Terpenoids	0.0200080032012805	Triterpenoids	0.0200080032012805	Lanostane, Tirucallane and Euphane triterpenoids	0.0200080032012805																																				
8	256.846435546875	0.2861	2.75227360961149	dummy	0	dummy	0	dummy	0	dummy	0	dummy	0	dummy	0	dummy	0																																				
9	299.098388671875	0.2874833333333333	2.95488557942958			Organic oxygen compounds	0.9998915195465088	Organooxygen compounds	0.9998630285263062	Glycosyl compounds	0.5225455164909363	Carbohydrates	0.7325416803359985	Nucleosides	0.7326008081436157	Purine nucleos(t)ides	0.6885736584663391	58		C10H14N4O4							0.08501075480090937	-258.67839354296206	SIRIUS			254.1015	-2.2131	KSCFJBIXMNOVSH	Cn1c(=O)c2c(ncn2CC(O)CO)n(C)c1=O	0000247	Organic compounds	Organoheterocyclic compounds	Imidazopyrimidines	Xanthines	Alkaloids	Pseudoalkaloids	Purine alkaloids	Magnoliopsida	10.1016/S0031-9422(01)00041-3 $ 10.1248/CPB.50.844 $ 10.1248/CPB.54.1223 $ 10.1248/CPB.51.1299			1	1	0.0386580412188124	0.4	0	0.213086213939804
9	299.098388671875	0.2874833333333333	2.95488557942958			Organic oxygen compounds	0.9998915195465088	Organooxygen compounds	0.9998630285263062	Glycosyl compounds	0.5225455164909363	Carbohydrates	0.7325416803359985	Nucleosides	0.7326008081436157	Purine nucleos(t)ides	0.6885736584663391	58		C10H14N4O4								-346.5477156169498	SIRIUS				-1.6	OLEPHOCAJGNFAB	COC(=O)C1=CN(N=N1)C2COC3C2OCC3N													2	2	0.0288560551674602	0	0	0.00961868505582006
