	msms_score	matched_peaks	feature_id	reference_id	adduct	charge	ionmode	instrument	instrument_type	comment	inchikey	inchi	smiles	compound_name	Spectral_library_ID	Spectral_library
0	0.9211945803650733	8	85	27756		-1	negative	Orbitrap	LC-ESI-Orbitrap	DB#=CCMSLIB00010108680; origin=GNPS	OIAVTFGRDNUKCM-UHFFFAOYSA-N	InChI=1S/C12H20O4/c1-10(13)6-2-3-7-11(14)8-4-5-9-12(15)16/h2-9H2,1H3,(H,15,16)	CC(=O)CCCCC(=O)CCCCC(=O)O	"""6,11-dioxododecanoic acid CollisionEnergy:102040"""	CCMSLIB00010108680	GNPS
1	0.7930614058063694	8	85	32104		-1	negative	Orbitrap	LC-ESI-Orbitrap	DB#=CCMSLIB00010120018; origin=GNPS	OIAVTFGRDNUKCM-UHFFFAOYSA-N	InChI=1S/C12H20O4/c1-10(13)6-2-3-7-11(14)8-4-5-9-12(15)16/h2-9H2,1H3,(H,15,16)	CC(=O)CCCCC(=O)CCCCC(=O)O	"""6,11-dioxododecanoic acid CollisionEnergy:205060"""	CCMSLIB00010120018	GNPS
2	0.969299574151708	5	113	43373		-1	negative	qTof	ESI-qTof	DB#=CCMSLIB00005739756; origin=GNPS	MDIUMSLCYIJBQC-UHFFFAOYSA-N	1S/C18H34O5/c1-2-3-7-11-16(20)17(21)14-13-15(19)10-8-5-4-6-9-12-18(22)23/h13-17,19-21H,2-12H2,1H3,(H,22,23)	O=C(O)CCCCCCCC(O)C=CC(O)C(O)CCCCC	FA 18:1+3O	CCMSLIB00005739756	GNPS
3	0.9196576735251389	6	113	45040		-1	negative	qTof	ESI-qTof	DB#=CCMSLIB00005742926; origin=GNPS	MDIUMSLCYIJBQC-UHFFFAOYSA-N	1S/C18H34O5/c1-2-3-7-11-16(20)17(21)14-13-15(19)10-8-5-4-6-9-12-18(22)23/h13-17,19-21H,2-12H2,1H3,(H,22,23)	O=C(O)CCCCCCCC(O)C=CC(O)C(O)CCCCC	FA 18:1+3O	CCMSLIB00005742926	GNPS
4	0.9375601860695847	11	113	47162		-1	negative	qTof	ESI-qTof	DB#=CCMSLIB00005746967; origin=GNPS	MDIUMSLCYIJBQC-UHFFFAOYSA-N	1S/C18H34O5/c1-2-3-7-11-16(20)17(21)14-13-15(19)10-8-5-4-6-9-12-18(22)23/h13-17,19-21H,2-12H2,1H3,(H,22,23)	O=C(O)CCCCCCCC(O)C=CC(O)C(O)CCCCC	FA 18:1+3O	CCMSLIB00005746967	GNPS
5	0.8857390585046764	6	157	45915		-1	negative	qTof	ESI-qTof	DB#=CCMSLIB00005744582; origin=GNPS	PQPRTPXWQQQKJC-UHFFFAOYSA-N	1S/C18H26O4/c1-2-16(19)12-8-6-7-10-14-17(20)13-9-4-3-5-11-15-18(21)22/h6-8,10,12,14H,2-5,9,11,13,15H2,1H3,(H,21,22)	O=C(O)CCCCCCCC(=O)C=CC=CC=CC(=O)CC	FA 18:5+2O	CCMSLIB00005744582	GNPS
6	0.8463557157246816	5	141	27039		-1	negative	Orbitrap	LC-ESI-Orbitrap	DB#=CCMSLIB00010106859; origin=GNPS	BXXCVHNCCFZMSE-UHFFFAOYSA-N	InChI=1S/C13H24O4/c1-2-3-4-5-6-8-11(13(16)17)9-7-10-12(14)15/h11H,2-10H2,1H3,(H,14,15)(H,16,17)	CCCCCCCC(CCCC(=O)O)C(=O)O	2-heptylhexanedioic acid CollisionEnergy:102040	CCMSLIB00010106859	GNPS
7	0.7818212013602394	5	141	31395		-1	negative	Orbitrap	LC-ESI-Orbitrap	DB#=CCMSLIB00010118198; origin=GNPS	BXXCVHNCCFZMSE-UHFFFAOYSA-N	InChI=1S/C13H24O4/c1-2-3-4-5-6-8-11(13(16)17)9-7-10-12(14)15/h11H,2-10H2,1H3,(H,14,15)(H,16,17)	CCCCCCCC(CCCC(=O)O)C(=O)O	2-heptylhexanedioic acid CollisionEnergy:205060	CCMSLIB00010118198	GNPS
8	0.9581286673938002	7	161	28543		-1	negative	Orbitrap	LC-ESI-Orbitrap	DB#=CCMSLIB00010110571; origin=GNPS	NLDDIKRKFXEWBK-UHFFFAOYSA-N	InChI=1S/C17H26O4/c1-3-4-5-6-14(18)12-15(19)9-7-13-8-10-16(20)17(11-13)21-2/h8,10-11,14,18,20H,3-7,9,12H2,1-2H3/t14-/m0/s1	CCCCCC(O)CC(=O)CCc1ccc(O)c(OC)c1	6-Gingerol CollisionEnergy:102040	CCMSLIB00010110571	GNPS
9	0.963803244987983	6	161	32890		-1	negative	Orbitrap	LC-ESI-Orbitrap	DB#=CCMSLIB00010121910; origin=GNPS	NLDDIKRKFXEWBK-UHFFFAOYSA-N	InChI=1S/C17H26O4/c1-3-4-5-6-14(18)12-15(19)9-7-13-8-10-16(20)17(11-13)21-2/h8,10-11,14,18,20H,3-7,9,12H2,1-2H3/t14-/m0/s1	CCCCCC(O)CC(=O)CCc1ccc(O)c(OC)c1	6-Gingerol CollisionEnergy:205060	CCMSLIB00010121910	GNPS
10	0.9838947081115766	7	138	43373		-1	negative	qTof	ESI-qTof	DB#=CCMSLIB00005739756; origin=GNPS	MDIUMSLCYIJBQC-UHFFFAOYSA-N	1S/C18H34O5/c1-2-3-7-11-16(20)17(21)14-13-15(19)10-8-5-4-6-9-12-18(22)23/h13-17,19-21H,2-12H2,1H3,(H,22,23)	O=C(O)CCCCCCCC(O)C=CC(O)C(O)CCCCC	FA 18:1+3O	CCMSLIB00005739756	GNPS
11	0.962978673869974	7	138	44413		-1	negative	qTof	ESI-qTof	DB#=CCMSLIB00005741690; origin=GNPS	MDIUMSLCYIJBQC-UHFFFAOYSA-N	1S/C18H34O5/c1-2-3-7-11-16(20)17(21)14-13-15(19)10-8-5-4-6-9-12-18(22)23/h13-17,19-21H,2-12H2,1H3,(H,22,23)	O=C(O)CCCCCCCC(O)C=CC(O)C(O)CCCCC	FA 18:1+3O	CCMSLIB00005741690	GNPS
12	0.9630378154250107	9	138	45040		-1	negative	qTof	ESI-qTof	DB#=CCMSLIB00005742926; origin=GNPS	MDIUMSLCYIJBQC-UHFFFAOYSA-N	1S/C18H34O5/c1-2-3-7-11-16(20)17(21)14-13-15(19)10-8-5-4-6-9-12-18(22)23/h13-17,19-21H,2-12H2,1H3,(H,22,23)	O=C(O)CCCCCCCC(O)C=CC(O)C(O)CCCCC	FA 18:1+3O	CCMSLIB00005742926	GNPS
13	0.9589969403287679	10	138	47162		-1	negative	qTof	ESI-qTof	DB#=CCMSLIB00005746967; origin=GNPS	MDIUMSLCYIJBQC-UHFFFAOYSA-N	1S/C18H34O5/c1-2-3-7-11-16(20)17(21)14-13-15(19)10-8-5-4-6-9-12-18(22)23/h13-17,19-21H,2-12H2,1H3,(H,22,23)	O=C(O)CCCCCCCC(O)C=CC(O)C(O)CCCCC	FA 18:1+3O	CCMSLIB00005746967	GNPS
14	0.9415981461404827	6	160	28543		-1	negative	Orbitrap	LC-ESI-Orbitrap	DB#=CCMSLIB00010110571; origin=GNPS	NLDDIKRKFXEWBK-UHFFFAOYSA-N	InChI=1S/C17H26O4/c1-3-4-5-6-14(18)12-15(19)9-7-13-8-10-16(20)17(11-13)21-2/h8,10-11,14,18,20H,3-7,9,12H2,1-2H3/t14-/m0/s1	CCCCCC(O)CC(=O)CCc1ccc(O)c(OC)c1	6-Gingerol CollisionEnergy:102040	CCMSLIB00010110571	GNPS
15	0.973144279993343	6	160	32890		-1	negative	Orbitrap	LC-ESI-Orbitrap	DB#=CCMSLIB00010121910; origin=GNPS	NLDDIKRKFXEWBK-UHFFFAOYSA-N	InChI=1S/C17H26O4/c1-3-4-5-6-14(18)12-15(19)9-7-13-8-10-16(20)17(11-13)21-2/h8,10-11,14,18,20H,3-7,9,12H2,1-2H3/t14-/m0/s1	CCCCCC(O)CC(=O)CCc1ccc(O)c(OC)c1	6-Gingerol CollisionEnergy:205060	CCMSLIB00010121910	GNPS
16	0.9944751918086566	5	31	27624		-1	negative	Orbitrap	LC-ESI-Orbitrap	DB#=CCMSLIB00010108347; origin=GNPS	NGSWKAQJJWESNS-UHFFFAOYSA-N	InChI=1S/C9H8O3/c10-8-4-1-7(2-5-8)3-6-9(11)12/h1-6,10H,(H,11,12)/b6-3+	O=C(O)C=Cc1ccc(O)cc1	p-coumaric acid CollisionEnergy:102040	CCMSLIB00010108347	GNPS
17	0.8880327651265388	10	89	4154		-1	negative	qTof	LC-ESI-qTof	DB#=CCMSLIB00005719010; origin=GNPS	SXFKFRRXJUJGSS-UHFFFAOYSA-N	InChI=1S/C12H16O4/c1-2-3-4-5-8-6-9(13)7-10(14)11(8)12(15)16/h6-7,13-14H,2-5H2,1H3,(H,15,16)	CCCCCc1cc(cc(c1C(=O)O)O)O	Olivetolcarboxylic acid	CCMSLIB00005719010	GNPS
18	0.99292233166152	7	32	627		-1	negative	Orbitrap	ESI-Orbitrap	DB#=CCMSLIB00005436136; origin=GNPS	TYFQFVWCELRYAO-UHFFFAOYSA-N	InChI=1S/C8H14O4/c9-7(10)5-3-1-2-4-6-8(11)12/h1-6H2,(H,9,10)(H,11,12)	OC(=O)CCCCCCC(O)=O	SUBERATE	CCMSLIB00005436136	GNPS
19	0.99292233166152	7	32	5349		-1	negative	Orbitrap	ESI-Orbitrap	DB#=CCMSLIB00005463554; origin=GNPS	TYFQFVWCELRYAO-UHFFFAOYSA-N	InChI=1S/C8H14O4/c9-7(10)5-3-1-2-4-6-8(11)12/h1-6H2,(H,9,10)(H,11,12)	OC(=O)CCCCCCC(O)=O	SUBERATE	CCMSLIB00005463554	GNPS
20	0.9368215893907123	7	32	5889		-1	negative	qTof	ESI-qTof	DB#=CCMSLIB00005720842; origin=GNPS	TYFQFVWCELRYAO-UHFFFAOYSA-N	InChI=1S/C8H14O4/c9-7(10)5-3-1-2-4-6-8(11)12/h1-6H2,(H,9,10)(H,11,12)	C(CCCC(=O)O)CCC(=O)O	SUBERIC ACID	CCMSLIB00005720842	GNPS
21	0.9973667848557226	7	32	25632		-1	negative	Orbitrap	LC-ESI-Orbitrap	DB#=CCMSLIB00010102576; origin=GNPS	TYFQFVWCELRYAO-UHFFFAOYSA-N	InChI=1S/C8H14O4/c9-7(10)5-3-1-2-4-6-8(11)12/h1-6H2,(H,9,10)(H,11,12)	O=C(O)CCCCCCC(=O)O	Octanedioic acid CollisionEnergy:102040	CCMSLIB00010102576	GNPS
22	0.9935276940775333	7	32	28055		-1	negative	Orbitrap	LC-ESI-Orbitrap	DB#=CCMSLIB00010109429; origin=GNPS	TYFQFVWCELRYAO-UHFFFAOYSA-N	InChI=1S/C8H14O4/c9-7(10)5-3-1-2-4-6-8(11)12/h1-6H2,(H,9,10)(H,11,12)	O=C(O)CCCCCCC(=O)O	Octanedioic acid CollisionEnergy:102040	CCMSLIB00010109429	GNPS
23	0.9928374296160362	6	32	32403		-1	negative	Orbitrap	LC-ESI-Orbitrap	DB#=CCMSLIB00010120771; origin=GNPS	TYFQFVWCELRYAO-UHFFFAOYSA-N	InChI=1S/C8H14O4/c9-7(10)5-3-1-2-4-6-8(11)12/h1-6H2,(H,9,10)(H,11,12)	O=C(O)CCCCCCC(=O)O	Octanedioic acid CollisionEnergy:205060	CCMSLIB00010120771	GNPS
24	0.9973667848557226	7	32	34779		-1	negative	Orbitrap	LC-ESI-Orbitrap	DB#=CCMSLIB00010126191; origin=GNPS	TYFQFVWCELRYAO-UHFFFAOYSA-N	InChI=1S/C8H14O4/c9-7(10)5-3-1-2-4-6-8(11)12/h1-6H2,(H,9,10)(H,11,12)	O=C(O)CCCCCCC(=O)O	Octanedioic acid CollisionEnergy:102040	CCMSLIB00010126191	GNPS
